name,address,postalcode,city,region,country,email
"Fraport AG","Havensteinstr. 95c","75838","Alt Karlotta","Hamburg","Germany","info@fraport.com"
"Lechwerke AG","Fritz-Henseler-Str. 317","1639","Kuskedorf","Hessen","Germany","info@lechwerke.com"
"VERBIO Vereinigte BioEnergie AG","Zum Claashäuschen 4","6169","Nord Heleneland","Hamburg","Germany","info@verbio.com"
"LANXESS AG","Platanenweg 3","82999","Noeldorf","Schleswig-Holstein","Germany","info@lanxess.com"
"K+S AG","Kump 85a","85925","Belzstadt","Brandenburg","Germany","info@k+s.com"
"H&K AG","Weiherfeld 6","39331","Nord Rayan","Niedersachsen","Germany","contact@h&k.com"
"METRO AG","In der Birkenau 8","48400","Alt Vincentland","Thüringen","Germany","contact@metro.com"
"Krones AG","Paul-Löbe-Str. 6","13673","Sattelmaierburg","Mecklenburg-Vorpommern","Germany","contact@krones.com"
"Aurubis AG","Friedrich-Ebert-Platz 83b","92274","Oseistadt","Berlin","Germany","contact@aurubis.com"
"AIXTRON SE","Werkstättenstr. 782","27689","Alt Jayson","Thüringen","Germany","contact@aixtron.com"
"Encavis AG","Farnweg 158","17844","West Emir","Mecklenburg-Vorpommern","Germany","contact@encavis.com"
"Gelsenwasser AG","Kleine Kirchstr. 41a","76344","West Aymandorf","Sachsen-Anhalt","Germany","contact@gelsenwasser.com"
"Nordex SE","Atzlenbacher Str. 375","6109","Nord Edgardorf","Schleswig-Holstein","Germany","contact@nordex.com"
"Mainova AG","Lichstr. 61c","58375","Hübenbeckerscheid","Bayern","Germany","contact@mainova.com"
"Tradegate AG","Hallesche Str. 738","6135","Lolaland","Sachsen","Germany","contact@tradegate.com"
"Ströer SE & Co. KGaA","Am Weingarten 35c","22419","Koenigland","Mecklenburg-Vorpommern","Germany","contact@ströer.com"
"Hensoldt AG","Bielertstr. 33a","83859","Nord Wiebke","Baden-Württemberg","Germany","contact@hensoldt.com"
"SMA Solar Technology AG","Freiheitstr. 55","18722","Ost Nicoscheid","Saarland","Germany","contact@sma.com"
"Atoss AG","Kamptalweg 16","85097","Ninaburg","Schleswig-Holstein","Germany","contact@atoss.com"
"GRENKE AG","Euckenstr. 03a","14084","Sussmannburg","Rheinland-Pfalz","Germany","contact@grenke.com"
"Energiekontor AG","Adalbertstr. 54c","54644","West Marwin","Baden-Württemberg","Germany","contact@energiekontor.com"
"CANCOM SE","Gluckstr. 81b","85374","Annalenaland","Thüringen","Germany","contact@cancom.com"
"Varta AG","Espenweg 2","93236","Wiebkescheid","Baden-Württemberg","Germany","contact@varta.com"
"Hornbach Holding AG","Voigtslach 68","16585","Lionelscheid","Saarland","Germany","contact@hornbach.com"
"Formycon AG","Max-Planck-Str. 574","16480","West Chrisland","Brandenburg","Germany","contact@formycon.com"
"Biosearch SA","Fürstenbergplatz 37b","73629","Doblerdorf","Bayern","Germany","contact@biosearch.com"
"Uniper SE","Rolandstr. 12a","15393","Bad Enno","Saarland","Germany","contact@uniper.com"
"Maschinenfabrik Berthold Hermle","Fester Weg 99a","50880","Alt Mick","Bremen","Germany","contact@maschinenfabrik.com"
"Basler AG","Distelkamp 1","52937","Ost Luzie","Sachsen","Germany","contact@basler.com"
"Pfeiffer Vacuum Tech. AG","Auf der Ohmer 35","88939","Bad Marlodorf","Hamburg","Germany","contact@pfeiffer.com"
"Nagarro SE","Uppersberg 8","99184","Henrikdorf","Baden-Württemberg","Germany","contact@nagarro.com"
"Jenoptik AG","Hufer Weg 87c","48505","Linoburg","Hessen","Germany","contact@jenoptik.com"
"BayWa AG","Menchendahler Str. 17","4820","Ost Burakland","Brandenburg","Germany","contact@baywa.com"
"Dermapharm Holding","Umlag 0","7032","Süd Selimdorf","Hamburg","Germany","contact@dermapharm.com"
"Berliner MVV Energie AG","Im Rottland 8","34846","Nord Curtburg","Sachsen-Anhalt","Germany","contact@berliner.com"
"Park & Bellheimer AG","Gartenstr. 85a","85622","Amirscheid","Baden-Württemberg","Germany","contact@park.com"
"CytoTools AG","Auf dem Lehn 8","94125","Gürbigland","Niedersachsen","Germany","contact@cytotools.com"
"ItN Nanovation AG","Otto-Müller-Str. 88b","89494","Hillerland","Baden-Württemberg","Germany","contact@itn.com"
"Qualcomm Incorporated","7091 Karine Port","2195","Alethaburgh","Alaska","USA","contact@qualcomm.com"
"CVS Health Corporation","67879 Gutmann Overpass","9920","Littlemouth","Oklahoma","USA","contact@cvs.com"
"Lowe's Companies","3964 Tamia Key","18675-6805","Friedahaven","North Dakota","USA","contact@lowe's.com"
"Intuit Inc.","104 Jarrod Park","79346","Jacobsonshire","Hawaii","USA","contact@intuit.com"
"S&P Global Inc.","392 Harmon Burg","98180","Rossieberg","Montana","USA","contact@s&p.com"
"Prologis","05561 Fay Spurs","47863","Lake Santiago","Oklahoma","USA","contact@prologis.com"
"Gilead Sciences","7269 Mayer Lights","78226","Reichertmouth","Arizona","USA","contact@gilead.com"
"BlackRock","746 Jasen Ferry","00766-3107","Bergnaumfort","Pennsylvania","USA","contact@blackrock.com"
"Advanced Micro Devices","47219 Emie Divide","05071-3206","South Vidal","Alabama","USA","contact@advanced.com"
"Cigna Corporation","27504 OKon Spurs","05925-8895","South Javonborough","Michigan","USA","contact@cigna.com"
"Automatic Data Processing","31155 Kale Village","71184-4121","Myahshire","Pennsylvania","USA","contact@automatic.com"
"Intuitive Surgical","95860 Nikolaus Islands","15997","North Estherhaven","Florida","USA","contact@intuitive.com"
"The Estée Lauder Companies Inc.","27650 Hailee Springs","10016","Magdalentown","Ohio","USA","contact@the.com"
"Citigroup Inc.","79708 Alexandrea Place","84081","North Sylvan","Vermont","USA","contact@citigroup.com"
"Northrop Grumman Corporation","90218 Vladimir Walks","00660-8321","Toreybury","Washington","USA","contact@northrop.com"
